k,method,qmc_backend,N,M,eps,x0,y0,phase_bins,dist_bins,group_every,block_size,exact,mean,bias,std,variance,rmse,variance_ratio_vs_mc,mse_ratio_vs_mc,time_ms,time_ratio_vs_mc,work_ratio_vs_mc,mean_steps,mean_max_steps,mean_truncated
1,mc,openqmc-sobol,1024,512,0.0001,0.65000000000000002,0.37,32,8,1,256,0.1302737913234005,0.13032368461808863,4.9893294688130307e-05,0.016232410282750218,0.00026349114358753507,0.016216627324711221,1,1,292.25490000000002,1,1,13.432626724243164,61.662109375,0
1,pathwise-rqmc,openqmc-sobol,1024,512,0.0001,0.65000000000000002,0.37,32,8,1,256,0.1302737913234005,0.12933453247023322,-0.00093925885316728519,0.0092990376142615943,8.6472100551451966e-05,0.0093373131533281764,0.32817839481851446,0.33152995611950248,1023.3923,3.5017113485522393,1.1491860094856496,13.445667266845703,62.083984375,0
1,full-sort-array-rqmc,openqmc-sobol,1024,512,0.0001,0.65000000000000002,0.37,32,8,1,256,0.1302737913234005,0.13013992116364789,-0.00013387015975260819,0.010009907661791252,0.00010019825139758723,0.010001023592987796,0.38027179977796904,0.38033634711227937,2441.1453000000001,8.3527951113907761,3.1763324301851918,13.437986373901367,62.4140625,0
1,bucketed-rqmc,openqmc-sobol,1024,512,0.0001,0.65000000000000002,0.37,32,8,1,256,0.1302737913234005,0.1302180858392607,-5.5705484139800809e-05,0.011049028059544486,0.00012208102106060141,0.011038373279940557,0.46332115530875351,0.46332856934816019,1457.3963000000001,4.9867300770662872,2.3104575405192618,13.432458877563477,61.03125,0
4,mc,openqmc-sobol,1024,512,0.0001,0.65000000000000002,0.37,32,8,1,256,-0.00077226641121387065,-0.0018758400582870563,-0.0011035736470731857,0.017346397285100974,0.00030089749877255847,0.017364552488900568,1,1,318.37950000000001,1,1,13.459926605224609,62.09375,0
4,pathwise-rqmc,openqmc-sobol,1024,512,0.0001,0.65000000000000002,0.37,32,8,1,256,-0.00077226641121387065,-0.0016491199443126711,-0.00087685353309880048,0.013588848935392148,0.00018465681538890833,0.013603860836720567,0.61368677420773843,0.6137580063554785,1023.1378,3.213579391889239,1.9721311706689728,13.432424545288086,61.40625,0
4,full-sort-array-rqmc,openqmc-sobol,1024,512,0.0001,0.65000000000000002,0.37,32,8,1,256,-0.00077226641121387065,-0.00092409574498709816,-0.00015182933377322751,0.01217397993544099,0.00014820578746851983,0.012163033140893113,0.4925457608424495,0.49063281237060452,2322.1662000000001,7.2937051537551882,3.5924835543168445,13.439498901367188,61.552734375,0
4,bucketed-rqmc,openqmc-sobol,1024,512,0.0001,0.65000000000000002,0.37,32,8,1,256,-0.00077226641121387065,-0.00066417961378042317,0.00010808679743344748,0.0138525221881984,0.00019189237097452899,0.013839409811955443,0.63773335357491967,0.63519628429758135,1541.5063,4.8417259905238872,3.0877301530276489,13.45954704284668,62.1875,0
8,mc,openqmc-sobol,1024,512,0.0001,0.65000000000000002,0.37,32,8,1,256,-0.00015007491096331223,0.00014432464753731721,0.00029439955850062941,0.018168442912081396,0.00033009231784956073,0.018153079005813484,1,1,295.12360000000001,1,1,13.440580368041992,62.201171875,0
8,pathwise-rqmc,openqmc-sobol,1024,512,0.0001,0.65000000000000002,0.37,32,8,1,256,-0.00015007491096331223,0.00059948803197983937,0.00074956294294315157,0.015527062026813022,0.00024108965518449891,0.015529991035320994,0.73037039078981325,0.73188326102646961,994.37649999999996,3.3693560935147171,2.4608779267303822,13.445140838623047,62.099609375,0
8,full-sort-array-rqmc,openqmc-sobol,1024,512,0.0001,0.65000000000000002,0.37,32,8,1,256,-0.00015007491096331223,-0.00018056666243003189,-3.0491751466719665e-05,0.013928823711950726,0.0001940121299986008,0.01391524810429569,0.58775112145148933,0.58759935790889972,2364.9661000000001,8.0134767263614304,4.7099299326443393,13.444988250732422,62.46875,0
8,bucketed-rqmc,openqmc-sobol,1024,512,0.0001,0.65000000000000002,0.37,32,8,1,256,-0.00015007491096331223,-0.0002654347829721706,-0.00011535987200885837,0.014671151230405882,0.00021524267842544005,0.014657270907955891,0.65206812393476155,0.65193700688715639,1502.3241,5.0904912382472967,3.319347071630256,13.431982040405273,61.880859375,0
16,mc,openqmc-sobol,1024,512,0.0001,0.65000000000000002,0.37,32,8,1,256,2.2163040140538457e-08,-0.00091804052766517161,-0.00091806269070531215,0.017658813973221065,0.0003118337109408275,0.017665432341955615,1,1,291.73700000000002,1,1,13.438812255859375,61.634765625,0
16,pathwise-rqmc,openqmc-sobol,1024,512,0.0001,0.65000000000000002,0.37,32,8,1,256,2.2163040140538457e-08,3.4128402553073506e-05,3.4106239512932967e-05,0.016616056774056896,0.00027609334271868209,0.016599857262767605,0.8853864512777857,0.88299890663381331,993.42049999999995,3.4051920051279057,3.0149108653396843,13.427915573120117,61.91796875,0
16,full-sort-array-rqmc,openqmc-sobol,1024,512,0.0001,0.65000000000000002,0.37,32,8,1,256,2.2163040140538457e-08,-0.00073076358303954812,-0.00073078574607968866,0.015492355376342226,0.00024001307510687988,0.015494461829190303,0.76968290048802313,0.76931544460219303,2317.9387000000002,7.9453024470670499,6.1153634327131545,13.443265914916992,62.40234375,0
16,bucketed-rqmc,openqmc-sobol,1024,512,0.0001,0.65000000000000002,0.37,32,8,1,256,2.2163040140538457e-08,-0.00057121678474539002,-0.00057123894778553057,0.015057574572467919,0.00022673055200543246,0.015053704953648909,0.72708800893068315,0.72616992463573227,1614.7194999999999,5.5348464541693367,4.0243204880990353,13.442304611206055,62.544921875,0
